arg_id,prev_arg_id,arg,error
Depth5_120,Depth4_139,"Prices for essential products around the world are increasing, the population is increasing and therefore if an individual has better job, they are more likely to be successful in the real world as they are more prepared, where there is increased rate of debt",
Depth5_121,Depth4_95,What evidence do you have to support this? ,
Depth5_122,Depth4_95,It would benefit the government far more by more people completing university and the them getting higher jobs therefore helping unemployment rates and contribution back to the country.,
Depth5_123,Depth4_95,Yes but keeping the fees will take longer to pay off and will be extranomical. It will put the student in debt so is better if it is abolished so that the student can get a good job with higher earnings so they can contribute to the taxes,y
Depth5_124,Depth4_95,Abolish fees so University is open to every one. Increase Income tax by 2p per month to cover this cost.,
Depth5_125,Depth4_95,Having education will enable for people to access better paying jobs,
Depth5_126,Depth4_104,The more people who have the opportunity to education the more competitive the job market will be and therefore the more people in employment and paying taxes ,
Depth5_127,Depth4_104,Everyone should be entitled to further education. Raising tax not the answer.,
Depth5_128,Depth4_104,No that is not for the government to increase taxes just for the sake of education.,
Depth5_129,Depth4_104,More educated people will have higher paid jobs and in return will pay more tax which will cover the abolishment of uni fees,
Depth5_130,Depth4_104,Student debt can put people off from continuing with education,
Depth5_131,Depth4_110,"I agree, however it's really important that everyone has the option to go to university so that the individual can decide what route they'd like to take ",
Depth5_132,Depth4_110,You could have the smartest kid but they live in poverty family they could be a fine doctor but can’t afford the fees.,
Depth5_133,Depth4_110,"True but if the student has the ability to go to university and their background is impoverished, how will he or she be able to afford the fees. ",
Depth5_134,Depth4_110,"A lot of careers still need a degree, teachers, doctors, etc. Abolishing fees will open university for everyone.",
Depth5_135,Depth4_110,You can’t become a doctor without a degree,
Depth5_136,Depth4_123,"That's dependant on circumstances, if they have a family or have to provide care for someone? ",
Depth5_137,Depth4_123,Slow it down a bit make it voluntary to pay back ,
Depth5_138,Depth4_123,"Yes but if the fees are not intact, the student will be able to earn a big wage without being saddled with debt whether they are rich or poor.",
Depth5_139,Depth4_123,Not having to pay anything back will attract more people to apply for university,
Depth5_140,Depth4_123,Everyone has different financial commitments,
Depth5_141,Depth4_134,The citizen doesn't get a choice with other taxes?,
Depth5_142,Depth4_134,It will be better for the he economy if everyone was to receive further eductation ,y
Depth5_143,Depth4_134,Yes but at least through the citizen it would not be so high on taxes and it would be for the benefit for the students who cannot afford the fees.,
Depth5_144,Depth4_134,Make university fees cheaper and tax only slightly higher,
Depth5_145,Depth4_134,Having more students will create a better workforce,
Depth5_146,Depth4_142,Students should be encouraged to carry out volunteer work ,
Depth5_147,Depth4_142,Add In the option In degrees for work experience year that way get theory and experience ,
Depth5_148,Depth4_142,Young people with a degree will be able to start their own businesses if there is a gap in the job market. ,
Depth5_149,Depth4_142,Introduce more work experience whilst undertaking a degree so that the graduate has some experience when applying for jobs,
Depth5_150,Depth4_142,Nan,
Depth5_151,Depth4_96,A loan can leave someone with a crippling amount of debt. In many cases the government ends up writing off student loans in any event. If students have more disposable income then they can reinvest that back into the economy.,
Depth5_152,Depth4_96,"I agree, use the higher taxes on the health care system",
Depth5_153,Depth4_96,"Because starting your life with a large loan causes difficulty when trying to buy or rent a house. Whilst you might be more likely to get jobs that pay more, this isn't guarenteed and therefore you might be restrained on where you can live and therefore not be able to put your education to best use. Also careers such as doctors etc, which require longer studies, might put off students who can not afford to get loans but their studies benefit the entire society.",y
Depth5_154,Depth4_96,"More people feeling able to study further creates better education across society, and paying by tax means the loans aren't placed upon the student all at once.",
Depth5_155,Depth4_96,"If students didnt have to pay fees they would be fresher and keener to take jobs at a lower level which offer progression in what they've qualified to do in rather than taking any available jobs which other people could do, ensuring a better spread of employment. ",
Depth5_156,Depth4_108,The goal that they should have in mind is completing their degree and then using that to find a good job. ,
Depth5_157,Depth4_108,"They could use the equivalent money to get a mortgage, not saddled with the debt",
Depth5_158,Depth4_108,"Very few things in life are free, but you shouldn't be made to take certain jobs or stay in certain jobs simply because you need to pay a loan back. It will reduce the amount of people who can work in the public sector, if working in the private sector is the only means of paying back the loan and starting your own life.",
Depth5_159,Depth4_108,Saddling students who do not have the bank of mum and dad to rely on with huge debt does nothing but reduce the respect a degree deserves. It only helps the rich get richer.,
Depth5_160,Depth4_108,"But if university education is available to people regardless of their ability to pay or need to take a loan, tbere woukd be a wider choice of candidate and places given to tjose who really want them",
Depth5_161,Depth4_115,What if they are refused a loan due to their financial circumstances or are not eligible for a scholarship? Those people should still be entitled to go to University if they achieve adequate results at school.,
Depth5_162,Depth4_115,"Paying off debt whilst starting out in a career, what chance of they getting on the property ladder",
Depth5_163,Depth4_115,There are too few scholarships and they often fall sort of covering the true costs. Scholarships then push the burden of choosing who can go to university onto the universities or charities that provide the funding. Having to fight for funding aswell as academic entry requirements is adding another barrier to student potentially from a disadvantaged background who has many barriers to overcome to be able to consider going onto higher education.,
Depth5_164,Depth4_115,Scholarships are few and far between. Just because someone doesn't come from a rich family doesn't mean they deserve to be saddled with huge debts for the rest of their life.,
Depth5_165,Depth4_115,"It is unfair to expect everyone to have funds available or enough family support to pay fees, there could be some good and much needed medics lost this way ",
Depth5_166,Depth4_126,If it means that the better paid job would leave them with less money after the loan deductions are taken into account they may well apply for the lower paid job. ,
Depth5_167,Depth4_126,"The loans get written off after a period of time, inflated by inflation, why have the debt to start with ",
Depth5_168,Depth4_126,"If the pay difference is less than the loan amount, then you would be worse off accepting the higher paid job. It might not be a case of not wanting the higher paid job, or promotion, if in reality it will mean a lower take home pay, it might not affordable in the short term to accept it, even if in the long term it makes more sense.",
Depth5_169,Depth4_126,"Yet if someone is just below the 21,000 salary mark, they would be much less likely to go for a promotion or take on extra work if they have large student loans",
Depth5_170,Depth4_126,Which is why i said that making university education available to more people regadless of financial status us will encourage dedicated people see through their education and be prepared to work their way up in the job they are qualified to do. ,y
Depth5_171,Depth4_136,"Loans only benefit the banking system in the form of interest payments which could otherwise have been spent by the student on food, clothes, cars etc which would be directly invested into the economy. The UK already has record levels of debt so adding additional student debt just exacerbates the situation.",
Depth5_172,Depth4_136,"The fees put off people from poorest backgrounds, it's only the rich that can afford it",
Depth5_173,Depth4_136,"Sometimes short term practicalities have to win over long term goals. Whilst you might be motivated to get the best job you can, a highest paid job might not be the goal; public sector or charity wor might be more appealing, but having a large debt to repay might mean these career paths are not practical.",y
Depth5_174,Depth4_136,"""Better"" careers are not necessarily high paid. Teaching is a profession that I admire as one of the greatest careers yet it is not highly paid.",
Depth5_175,Depth4_136,"But getting a high paid job is not the same as working for what they are qualified for, it is a waste of their education ",
Depth5_176,Depth4_149,Many people will be ineligible for scholarships but will still find it very difficult to fund their education without taking out a loan. ,
Depth5_177,Depth4_149,"Education no matter what level should be free, the government set a limit, but nobody is under in it",
Depth5_178,Depth4_149,"If the govenment is providing the scholarships, what is the difference beween this and a means -tested grant ? What has the enforcement of taxes got to do with providing funding for university eductation?",y
Depth5_179,Depth4_149,"Giving scholarships is the least they can do. Tax-funded tertiary education is beneficial because the student pays for their education over their working lives, without hanging a negative number over their head to force them into highly paid jobs that they hate.",
Depth5_180,Depth4_149,"When a threshold us made for financing anything, there is always a large number of people on the borderline who would miss out",
Depth5_181,Depth4_160,"Keeping university fees will mean a higher perceNate of young people coming out and into higher paid jobs, thus meaning a slightly or a lot higher tax amount paid",y
Depth5_182,Depth4_160,If we abolish the fees they wont have to worry about paying back,
Depth5_183,Depth4_160,University education should be free and available to all instead of leaving children with crippling debt before they embark on their lives. We should be enabling instead of preventing further education and trusting our kids to be financially responsible should be on the timetable in all universities ,
Depth5_184,Depth4_160,"Fess are far too high in this country, furthermore it leaves the student with a significant debt on leaving University, and for most Students this may never be paid off. ",
Depth5_185,Depth4_160,Rather than giving student the money they should be issued with vouchers for food or all university's should be all inclusive of food meaning all Grant's/payment are paid directly to the university rather than the student. ,
Depth5_186,Depth4_160,You cannot help with financial problems they will wind up spend what they get with no thought on repercussions about how to become stable,
Depth5_187,Depth4_172,The loan is only payable back once you reach a certain salary so there should be no worry,
Depth5_188,Depth4_172,"Loans are great but education should be accessible no matter what your financial situation, encouraging loans doesn't encourage those less fortunate to go to uni",
Depth5_189,Depth4_172,"The debt does count against you as it is a long term debt that you will be expected to pay and is something that will take a long time to clear unless you are earning a very good wage. The quality of the courses on offer should be looked at, quality not quantity. Some degrees are not worth the paper they are written on thereby ensuring the student won’t be able to get a good paying job at end and preventing them from clearing the debt. Where’s the incentive?",
Depth5_190,Depth4_172,Universities are charging far too much for courses and should look to combine studies with online learning and more vocational input where the costs lie with and employer. They seem to be rising year on year and overall students leave with little work experience and a mountain of debt.,
Depth5_191,Depth4_172,I dont see how financial situations matter? Everyone has access to a student loan and people living in houses with lesser income are able to get further help in Grant's or additional student loans. ,
Depth5_192,Depth4_172,Being that we are both from different backgrounds I can safely say that being on the poorer end does not in anyway encourage people to take out loans with high interest and get in debt for education,
Depth5_193,Depth4_181,"The loan in the long run is worth it, everyone has some sort of debt due to bad spending habits plus buying cars and a house it seems there is always debt",
Depth5_194,Depth4_181,If they go into uni without debt then they're more likely to be able to contribute more to society,
Depth5_195,Depth4_181,More career information should be made available to students and more alternatives to degrees offered. It should be a choice not based on income or affordability but based on a considered approach. ,
Depth5_196,Depth4_181,There are better ways now to get a degree and be paid doing and apprenticeship where no loan needs to be taken out and employers foot the bill.,
Depth5_197,Depth4_181,"As some who took a loan out to go to university, the payment that I make are not effective of the amount I earn and put me in no financial difficulties at all. ",
Depth5_198,Depth4_181,NAN,
Depth5_199,Depth4_196,"Being in a better skilled job is much needed if we are to train drs and nurses etc, the salary means the higher taxes will contribute ",y
Depth5_200,Depth4_196,"If those less privileged cannot attend university then our pay gap will increase even further, society needs equality",
Depth5_201,Depth4_196,Taxes are not recovered from all in society. That just isn’t true. Many people evade paying tax and some people end up crippled by it. If that’s the case it isn’t fair to assume that the tax system is fair if it was then surely we would have enough money to offer Uni placements without a fee,
Depth5_202,Depth4_196,I know many adults who have started university in their 30's because of the financial implications. There are many students now who are in college who still see the cost of University a financial burden.,
Depth5_203,Depth4_196,University should be open to anyone that wants to attend. People in higher privileged backgrounds should stop being so snobby and accept everyone for who they are! ,
Depth5_204,Depth4_196,Everybody needs a chance to gain a good education no matter their circumstances of birth ,
Depth5_205,Depth4_203,People will learn if they want to and have an actual interest or goals,
Depth5_206,Depth4_203,"Private school pupils gain far higher access to opportunities and are encouraged to strive towards uni, that doesn't happen in less priveligded areas",y
Depth5_207,Depth4_203,"Information shouldn’t be something the student or their parent has to “seek” all into should be easy to find and available, otherwise that immediately puts certain students at a disadvantage. If you don’t know how to play the system you don’t get the reward isn’t something we should still be relying on in this day and age ",
Depth5_208,Depth4_203,"Yes but if someone applies and is offered a full grant of £8700 and is living away from home, they aren't going to say no with no money to live off and see it as a means to an end.",
Depth5_209,Depth4_203,"Students that go to private schools always have an advantage in going to the so called ""top university's"" e.g oxford and cambridge. They should be open to anyone and not just the people who's lardy da parents can afford to put their precious children in private schools.",y
Depth5_210,Depth4_203,Agreed but with majority of school leavers having learning difficulties it does make it harder to know about such things ,
Depth5_211,Depth4_217,That falls down to choice and wasting a perfectly good opportunity,
Depth5_212,Depth4_217,If the loan doesn't require you to pay back unless youre a high earner theres no motivation,
Depth5_213,Depth4_217,"The quality of the degree can affect the level of pay once leaving uni. There are plenty of cases where the degree is useless and students are unable to find employment which facilitates and reflects their earning potential. It is maybe due to students paying for their own education the uni system has had to adapt and offer them more of a selection on courses, when it was free there was less choice of courses but they were considered more valuable. ",
Depth5_214,Depth4_217,Student debt has almost doubled in this country and as a nation we are amongst the highest in the world. Whilst a future master may seek to pay off debt there are a significant number of degrees that do not warrant the costs. ,
Depth5_215,Depth4_217,As a post graduate I have always seaked to find the best job I can get. The problem these days is so many people go to university that you are no different from the next person. A top paid job will more likely be given to a person who had been at a company for many years as appose to someone with a degree.,y
Depth5_216,Depth4_217,"But with the national minimum wage as low as it is, it is still not enough to pay back loans fast. It will take 50 years maximum to pay back",
Depth5_217,Depth4_161,"By abolishing the fees, we would save money and man poorer on the people ensuring these well levered loans. And by removing fees altogether, we a equipping a generation who may not be able to afford education otherwise, in a world where the majority of jobs require degree level education.",
Depth5_218,Depth4_161,"It is not at all another concern, it is not the job of government to micro-manage taxpayers money given to students in this slap-dash fashion.",
Depth5_219,Depth4_161,The government wouldn't have the resources to check all of the loans are well levered.,
Depth5_220,Depth4_161,"It would be more cost effective, and take less government intervention and monitoring, if the Government were to pay the Universities directly for each student that they have attending University. This would eliminate the need to monitor the loans that students need to take out at the moment. This would also give the Government the ability to negotiate the best price each course, as all buying power is in the hands of the one organisation, and not split between several thousand individuals. ",
Depth5_221,Depth4_161,students shouldn't be given the stress and pressure of finances so young.,
Depth5_222,Depth4_161,It's impossible to check where the loans are spent and students can spend it on whatever they want. It would cost too much to regulate where the money goes and the money could be spent on better things.,
Depth5_223,Depth4_176,"But the government don't assess this. The rich get richer and the poor get poorer, and aren't provided the opportunity to go into higher paid jobs. By abolishing fees it means that you get degrees and jobs based on intelligence and ability rather than the money in your bank.",
