arg_id,prev_arg_id,Argument,Concern1,Concern2,Concern3,Concern4,Concern5
Depth5_124,Depth4_95,abolish fees so university is open to every one . increase income tax by 2p per month to cover this cost .,tax,,,,
Depth5_126,Depth4_104,the more people who have the opportunity to education the more competitive the job market will be and therefore the more people in employment and paying taxes,job,tax,,,
Depth5_128,Depth4_104,no that is not for the government to increase taxes just for the sake of education .,government,tax,,,
Depth5_129,Depth4_104,more educated people will have higher paid jobs and in return will pay more tax which will cover the abolishment of uni fees,job,tax,,,
Depth5_132,Depth4_110,you could have the smartest kid but they live in poverty family they could be a fine doctor but can't afford the fees .,family,afford,,,
Depth5_133,Depth4_110,"true but if the student has the ability to go to university and their background is impoverished , how will he or she be able to afford the fees .",afford,background,,,
Depth5_136,Depth4_123,"that 's dependant on circumstances , if they have a family or have to provide care for someone ?",family,,,,
Depth5_138,Depth4_123,"yes but if the fees are not intact , the student will be able to earn a big wage without being saddled with debt whether they are rich or poor .",debt,,,,
Depth5_143,Depth4_134,yes but at least through the citizen it would not be so high on taxes and it would be for the benefit for the students who can not afford the fees .,afford,tax,,,
Depth5_148,Depth4_142,young people with a degree will be able to start their own businesses if there is a gap in the job market .,job,,,,
Depth5_149,Depth4_142,introduce more work experience whilst undertaking a degree so that the graduate has some experience when applying for jobs,job,,,,
Depth5_151,Depth4_96,a loan can leave someone with a crippling amount of debt . in many cases the government ends up writing off student loans in any event . if students have more disposable income then they can reinvest that back into the economy .,loan,government,debt,,
Depth5_154,Depth4_96,"more people feeling able to study further creates better education across society , and paying by tax means the loans are n't placed upon the student all at once .",society,loan,tax,,
Depth5_155,Depth4_96,"if students didnt have to pay fees they would be fresher and keener to take jobs at a lower level which offer progression in what they 've qualified to do in rather than taking any available jobs which other people could do , ensuring a better spread of employment .",job,,,,
Depth5_156,Depth4_108,the goal that they should have in mind is completing their degree and then using that to find a good job .,job,,,,
Depth5_159,Depth4_108,saddling students who do not have the bank of mum and dad to rely on with huge debt does nothing but reduce the respect a degree deserves . it only helps the rich get richer .,debt,,,,
Depth5_160,Depth4_108,"but if university education is available to people regardless of their ability to pay or need to take a loan , tbere woukd be a wider choice of candidate and places given to tjose who really want them",loan,,,,
Depth5_161,Depth4_115,what if they are refused a loan due to their financial circumstances or are not eligible for a scholarship ? those people should still be entitled to go to university if they achieve adequate results at school .,loan,scholarship,,,
Depth5_162,Depth4_115,"paying off debt whilst starting out in a career , what chance of they getting on the property ladder",career,debt,,,
Depth5_164,Depth4_115,scholarships are few and far between . just because someone does n't come from a rich family does n't mean they deserve to be saddled with huge debts for the rest of their life .,family,scholarship,debt,,
Depth5_166,Depth4_126,if it means that the better paid job would leave them with less money after the loan deductions are taken into account they may well apply for the lower paid job .,loan,job,,,
Depth5_167,Depth4_126,"the loans get written off after a period of time , inflated by inflation , why have the debt to start with",loan,debt,,,
Depth5_169,Depth4_126,"yet if someone is just below the 21,000 salary mark , they would be much less likely to go for a promotion or take on extra work if they have large student loans",loan,,,,
Depth5_174,Depth4_136,`` better '' careers are not necessarily high paid . teaching is a profession that i admire as one of the greatest careers yet it is not highly paid .,career,,,,
Depth5_175,Depth4_136,"but getting a high paid job is not the same as working for what they are qualified for , it is a waste of their education",job,,,,
Depth5_176,Depth4_149,many people will be ineligible for scholarships but will still find it very difficult to fund their education without taking out a loan .,loan,scholarship,,,
Depth5_177,Depth4_149,"education no matter what level should be free , the government set a limit , but nobody is under in it",free,government,,,
Depth5_179,Depth4_149,"giving scholarships is the least they can do . tax-funded tertiary education is beneficial because the student pays for their education over their working lives , without hanging a negative number over their head to force them into highly paid jobs that they hate .",scholarship,job,,,
Depth5_183,Depth4_160,university education should be free and available to all instead of leaving children with crippling debt before they embark on their lives . we should be enabling instead of preventing further education and trusting our kids to be financially responsible should be on the timetable in all universities,free,debt,,,
Depth5_184,Depth4_160,"fess are far too high in this country , furthermore it leaves the student with a significant debt on leaving university , and for most students this may never be paid off .",debt,,,,
Depth5_190,Depth4_172,universities are charging far too much for courses and should look to combine studies with online learning and more vocational input where the costs lie with and employer . they seem to be rising year on year and overall students leave with little work experience and a mountain of debt .,debt,,,,
Depth5_191,Depth4_172,i dont see how financial situations matter ? everyone has access to a student loan and people living in houses with lesser income are able to get further help in grant 's or additional student loans .,loan,access,,,
Depth5_192,Depth4_172,being that we are both from different backgrounds i can safely say that being on the poorer end does not in anyway encourage people to take out loans with high interest and get in debt for education,interest,loan,debt,background,
Depth5_193,Depth4_181,"the loan in the long run is worth it , everyone has some sort of debt due to bad spending habits plus buying cars and a house it seems there is always debt",loan,debt,,,
Depth5_194,Depth4_181,if they go into uni without debt then they 're more likely to be able to contribute more to society,society,debt,,,
Depth5_195,Depth4_181,more career information should be made available to students and more alternatives to degrees offered . it should be a choice not based on income or affordability but based on a considered approach .,career,,,,
Depth5_203,Depth4_196,university should be open to anyone that wants to attend . people in higher privileged backgrounds should stop being so snobby and accept everyone for who they are !,background,,,,
Depth5_212,Depth4_217,if the loan does n't require you to pay back unless youre a high earner theres no motivation,loan,,,,
Depth5_214,Depth4_217,student debt has almost doubled in this country and as a nation we are amongst the highest in the world . whilst a future master may seek to pay off debt there are a significant number of degrees that do not warrant the costs .,debt,,,,
Depth5_217,Depth4_161,"by abolishing the fees , we would save money and man poorer on the people ensuring these well levered loans . and by removing fees altogether , we a equipping a generation who may not be able to afford education otherwise , in a world where the majority of jobs require degree level education .",loan,afford,job,,
Depth5_218,Depth4_161,"it is not at all another concern , it is not the job of government to micro-manage taxpayers money given to students in this slap-dash fashion .",government,job,,,
Depth5_222,Depth4_161,it 's impossible to check where the loans are spent and students can spend it on whatever they want . it would cost too much to regulate where the money goes and the money could be spent on better things .,loan,,,,
Depth5_223,Depth4_176,"but the government do n't assess this . the rich get richer and the poor get poorer , and are n't provided the opportunity to go into higher paid jobs . by abolishing fees it means that you get degrees and jobs based on intelligence and ability rather than the money in your bank .",government,job,,,
Depth5_224,Depth4_176,"no , the reality is that any amount of government involvement will not be able to reassure or convince the children of the poor to take out loans that represent years of income in the houses they were raised .",loan,government,,,
Depth5_227,Depth4_176,students want to learn not create lots of debt for themselves depending on their situation,debt,,,,
Depth5_229,Depth4_186,"but is n't it better to start your adult life on a blank canvas , rather than asking people to pay money back as their careers progress ? the implications of debt are massive and starting your life with such large ones seems almost neglectful to mental health .",career,debt,,,
Depth5_231,Depth4_186,"the number of graduates finding work is growing smaller and smaller , meaning that students are not necessarily going to find themselves in positions to easily pay off their student loans .",loan,,,,
Depth5_233,Depth4_186,students are still in education and the government should want to pay for the future of this country,government,,,,
Depth5_238,Depth4_197,"we should be working towards a solution that enables every individual , who is able to , and who wants to , to attend university . with the current system , there are a lot of people who are denied this ability , as they are unable to afford the current tuition fees .",afford,,,,
Depth5_240,Depth4_197,"encouraging people from all backgrounds makes for a just society and coming from less privileged background does n't mean you are less intelligent , you just need more financial support .",society,background,,,
Depth5_242,Depth4_212,"that is an argument that could only be made by someone in a position of privilege . for most people , a loan is the only way to access a university education in the first place .",loan,access,,,
Depth5_244,Depth4_212,"we are setting up our students so that they are able to work to their fullest potential . we will be hobbling their ability to achieve success , if they are pre-occupied with the amount of debt that they have to pay back .",debt,,,,
Depth5_245,Depth4_212,students should n't have to get a loan and pay for a decent education and good job this should be a standard in this country,loan,job,,,
Depth5_248,Depth4_220,but the major point here is that only some sectors of society will be comfortable with this redistribution of financial responsibility in education . only the rich and middle-classes are willing to undertake these huge debts that they know they will have help in paying off .,society,debt,,,
Depth5_251,Depth4_220,students with a high loan to repay my not complete their course because of the debt and stress of it all so will leave everyone in a worse situation than before,loan,debt,,,
Depth5_256,Depth4_162,"going to university should be a learning opportunity , not just academically , but for general adult life too . young people should learn how to manage and earn their own money rather than being given loans which gives an unrealistic expectation of adult life .",loan,,,,
Depth5_257,Depth4_162,but if the student is unable to repay it and the government ultimately writes it off then the student will not have learned anything about money management .,government,,,,
Depth5_258,Depth4_177,"some students have other commitments , such as children or mortgages , which prevents them from building the financial background needed .",background,,,,
Depth5_259,Depth4_177,that still means that there is not equal opportunity . students from less well off backgrounds would have to work harder and longer than their more financially secure peers .,background,,,,
Depth5_265,Depth4_192,but removing the fees would open up the opportunity to so many more who our priced out by the fees themselves . an increase in attendance from less privileged backgrounds versus today is still progress,background,,,,
Depth5_266,Depth4_192,"university should be an obtainable option for all walks of society - be it young people , middle-aged people or older people . their financial situation or class should not dictate whether they are able to learn or not .",society,,,,
Depth5_267,Depth4_192,if they did not need to pay student fees they would not be intimidated by the prospect of taking out a large loan that they may struggle to repay . those with family money will not have such concerns .,family,loan,,,
Depth5_272,Depth4_201,or alternatively it will simply dissuade those with a less privileged financial background from even trying . everyone who wants to attend university does so in order to advance their career prospects .,career,background,,,
Depth5_273,Depth4_215,people who wish to progress further by going to university should have the opportunity to go into higher paying jobs and not forced into low paying jobs due to debt .,job,debt,,,
Depth5_274,Depth4_215,student loans take decades to pay off . people may end up working in low paid jobs that do not reflect their abilities and ambitions for their entire working lives .,loan,job,,,
Depth5_276,Depth4_215,we should be pushing our young people to strive for their dream jobs and work hard to grow both academically and financially . being more inclined to go for lower paid jobs will mean settling for less rather than being determined to strive for more .,job,,,,
Depth5_279,Depth4_223,university should not be seen as a high privilege to attend . in order for society to become more fair it should be open and accessible to everyone .,society,,,,
Depth5_281,Depth4_223,university should not be aimed at the higher-earning families and should be readily available and obtainable for the entire population . giving all walks of life an opportunity to learn is a huge investment in society and in the uk .,family,society,,,
Depth5_282,Depth4_223,it was free when i was a student so this is wrong . why should the new generation be denied the opportunities that were offered to me ?,free,,,,
Depth5_284,Depth4_235,that may only be sufficient to cover the cost of the degree and no living costs . if student fees were abolished and a student needed to take out a loan they could use that money to pay for their living costs and continue with the degree .,loan,,,,
Depth5_285,Depth4_235,"however , some people may never be able to get a job to pay off their debts due to varying circumstances . they will have to live with this burden on their shoulders for the rest of their lives .",job,debt,,,
Depth5_287,Depth4_235,you are then encouraging people to live beyond their means and face a long term debt . the cost of housing is another burden to young people leaving university and it can all seem too much .,debt,,,,
Depth5_289,Depth4_245,a degree no longer ensures that someone will end up in a high paying job . many graduates with degrees end up in low paid work in the current economy which has never fully recovered since the financial crisis .,job,,,,
Depth5_292,Depth4_245,"the degree is an extra qualification which can help with acquiring a job , but there are many over qualified people working in lower grade jobs as there are not enough graduate jobs for all students .",job,,,,
Depth5_294,Depth4_256,that has nothing to do with the original argument that a student may never pay back their loan which will result in it being written off by the government .,loan,government,,,
Depth5_297,Depth4_256,a lot of people never fully pay back the loan and some have no intention of doing so . the government has to allow for these losses and the administrative time involved in running the loan system .,loan,government,,,
Depth5_298,Depth4_269,"you can not do this ! you can not make paying for university contingent on people being able to work while studying , or getting scholarships , or any of that . people need access , they need to be treated equitably , and not be judged on talent which is subjective and unhelpful anyway .",access,scholarship,,,
Depth5_303,Depth4_279,"the government have a responsibility , it is not up to banks , it should not be .",government,,,,
Depth5_304,Depth4_279,banks would likely impose even higher rates of interest which would be unsustainable and they may also reject a large number of students given their financial circumstances .,interest,,,,
Depth5_307,Depth4_279,i don't think that the banks would approve loans to everyone that the government supports as they wouldn't be prepared to take the risk . this would make a university education less available .,loan,government,,,
Depth5_311,Depth4_290,"more jobs rely on having a degree , meaning it isn't seen as worthwhile to get one . however , many people struggle financially through uni and fight to maintain a job .",job,,,,
Depth5_312,Depth4_290,personal debt can have huge negative consequences in a person's life . it is not a habit that we should be encouraging . if a person is intelligent enough to go to university they should have the opportunity to do so and to reap the benefits .,debt,,,,
Depth5_314,Depth4_236,if uni fees were abolished then there would be less worry about paying off student loans and any extra income earned could go toward living and studying expenses .,loan,,,,
Depth5_318,Depth4_251,people should not be taxed for trying to improve themselves through education . the university fees and loan interest rate should be comparative to the average labour market rates .,interest,loan,,,
Depth5_320,Depth4_251,a student loan isnt like a normal loan where it is not based on income therefore i dont think its that big of a deal,loan,,,,
Depth5_321,Depth4_251,"surely it would be more beneficial to the government to lower tuition fees and guarantee that they will get the money back , rather than not knowing how much will be paid back by each person",government,,,,
Depth5_325,Depth4_267,i think the parents should encourage it and the loan teaches about budgeting and managing money,loan,,,,
Depth5_326,Depth4_267,"there are stigmas against loans , and many people see them as a bad thing , so in creating a loan , it means that a group of society who oppose loans , will be removed from those able and willing to go to university",society,loan,,,
Depth5_328,Depth4_271,the current labour market and according salary does not provide for most students to pay their loan back . this is made worse by the high interest rate,interest,loan,,,
Depth5_331,Depth4_271,"that 's a very narrow minded argument , and one that does not take into consideration the different opportunities that people are faced with . a `` well paid job '' often comes as the result of who you or your parents know and your social connections , rather than just hard work .",job,,,,
Depth5_332,Depth4_271,it 's very easy to get into a uni these days and many people go for the experience and thus do n't necessarily get well paid jobs and then do n't pay the loans back .,loan,job,,,
Depth5_334,Depth4_287,uni fees should be done away with and taxes should be increased slightly so as to increase the money the government receives without affecting society too much .,society,government,tax,,
Depth5_335,Depth4_287,i dont think it should be down to taxes to raise it otherwise its not fair on others,tax,,,,
Depth5_337,Depth4_287,then it might encourage parts of society that have historically not gone to uni to go uni to go and take advantage whilst the upper classes can pay more tax and it can be a bonus for the lower classes .,society,tax,,,
Depth5_338,Depth4_291,students from low income families and minority groups struggle to access education and the funding routes available to them . the student loan process is complex and not fully explained .,family,loan,access,,
Depth5_339,Depth4_292,getting rid of uni fees means that people can do a uni course purely for interest not because they want to get a high paying job in that field and pay back the loan .,interest,loan,job,,
Depth5_342,Depth4_295,there are also more people dropping out than ever even mature students and i have had first hand experience of this and seeing single mature mothers struggling and dropping out when all they want is to better their family 's lives,family,,,,
Depth5_345,Depth4_238,however the stress of managing debt is an additional burden that students are unable to deal with,debt,,,,
Depth5_348,Depth4_253,people are not going to university because they can't afford to attend and there families are unable to financially support them,family,afford,,,
Depth5_351,Depth4_253,some loans are impossible to pay and the student carries it with it for several years,loan,,,,
Depth5_352,Depth4_253,by making university fee's free the uk will have a higher percentage of skilled/qualified workers . this in turn being higher earners who pay more tax .,free,tax,,,
Depth5_353,Depth4_268,teenagers might not pursue the career they want because they are talked out of taking a loan out,loan,career,,,
Depth5_355,Depth4_268,"debt remains a stigma amongst those without financial means , society should not be encouraging such practice",society,debt,,,
Depth5_357,Depth4_268,making university fee's free is one less burden to consider making it much easier for people to attend in the first place .,free,,,,
Depth5_358,Depth4_273,some families can't support their child to go to uni because they have to provide money before they even receive there loan which can put a massive strain on families,family,loan,,,
Depth5_360,Depth4_273,graduates should be in a position to earn more and therefore better able to repay the loan,loan,,,,
Depth5_362,Depth4_273,free university fee's gives our country more qualified and professional workers who will pay back society by passing on knowledge and of course paying a higher rate of tax .,society,free,tax,,
Depth5_363,Depth4_288,"you need degrees for professions such as a doctor which provide good to the country , surely the service they provide should be good enough to pay slightly higher taxes",tax,,,,
Depth5_365,Depth4_288,improving the whole of society through cheaper education funded by higher taxes benefits the many rather than the few,society,tax,,,
Depth5_367,Depth4_288,there are certain sectors of the nhs that are desperate for trained professionals which we don't seem to have enough of . making university free could increase the amount of doctors and nurses we have in this country .,free,,,,
Depth5_368,Depth4_292,"people don't have access to the same possibilities such as university because they can't even afford to go , such as having to pay deposits and the right equipment needed for university",afford,access,,,
Depth5_369,Depth4_292,the government should be making sure our children do n't end up in debt before they even got on the working ladder,government,debt,,,
Depth5_372,Depth4_292,a disadvantaged person could be changed into an advantaged one just by doing one simple thing - making university fee's free ! a true gift to empower people .,free,,,,
Depth5_376,Depth4_295,some people leave university and do not obtain a higher paying job despite having gained a degree . they are then saddled with a debt that they might never be able to repay .,job,debt,,,
Depth5_377,Depth4_295,a small individual increase in tax would not effect the lifestyle of the working class/professional workforce and if anything would provide a more educated workforce as a whole .,tax,,,,
Depth5_381,Depth4_303,i agree that it is good for students to have part time jobs while studying but there are times during a degree when the workload is such that there is n't any spare time to keep a part time job .,job,,,,
Depth5_384,Depth4_315,the need to repay loans once income reaches a certain level could act as a disincentive for graduates to get ahead .,loan,,,,
Depth5_386,Depth4_315,"even those with good degrees can struggle to find a well paid job and some work in sectors that pay less , for example charities or social enterprises .",job,,,,
Depth5_387,Depth4_315,a student from a working class/poorer family can not afford to gamble with their future on the off chance that they may or may not land a professional role directly after university .,family,afford,,,
Depth5_391,Depth4_325,it may indeed help them to get a better job but that is not guaranteed and no one knows what the future holds .,job,,,,
Depth5_394,Depth4_336,"they should have a range of options , and base their decision on what is best for their career development without having to factor in cost .",career,,,,
Depth5_396,Depth4_336,many degrees do n't lead automatically to a job but if it is an area that a student is particularly interested they will have more motivation to study and obtain a good degree .,job,,,,
Depth5_398,Depth4_341,not everyone can do or be in a position to study abroad take on a part time job and study and there will only be a limited funds and scholarship s,scholarship,job,,,
Depth5_399,Depth4_341,scholarships are unfortunately in short supply and other those most gifted are able to access them,access,scholarship,,,
Depth5_402,Depth4_341,a degree may not be for everyone but access the university level education and information should be and gating this behind an arbitrary pay wall is absurd and backwards .,access,,,,
Depth5_406,Depth4_298,people shouldn't settle for small salaries they should want the bigger salaries from the harder degrees and that means more of the money will be taken through loans,loan,,,,
Depth5_408,Depth4_308,a degree may not be a right but some people may be desperate for one but have no ways to afford it . i dont think people should lose out on going to university just because of their financial issues,afford,,,,
Depth5_412,Depth4_308,students should n't have this argument with themselves knowing that if they want a degree etc they have to get into debt so it isnt really an option,debt,,,,
Depth5_417,Depth4_318,not all students that finish university end up with a good job i have known students who have a degree but can not get a job,job,,,,
Depth5_420,Depth4_327,students from poorer backgrounds are already at a disadvantage to those from richer ones . getting into further debt just exacerbates that .,debt,background,,,
Depth5_425,Depth4_338,suitable jobs that fit around your studies are hard to come by and will necessarily leave less time for study .,job,,,,
Depth5_426,Depth4_338,you will be worried because the loan is constantly increasing and even when the payments start to go down it never really will be because of the constant compounding interest,interest,loan,,,
Depth5_427,Depth4_338,students surely should n't have this worry over their heads i have known a student to commit suicide because of the debt they are in so i will never agree,debt,,,,
Depth5_431,Depth4_343,a part time job might not pay for expenses living in expensive areas like london,job,,,,
Depth5_433,Depth4_301,"the interest and fees are lifelong for many students . it would be a burden for anyone to have a lifelong , large loan .",interest,loan,,,
Depth5_434,Depth4_301,only the few who end up with higher paying jobs with will be able to pay back without affecting there day to day living,job,,,,
Depth5_436,Depth4_301,students tend to look to those before them and see that many are still in debt after a few years of graduating thus hindering them from taking loans for a business .,loan,debt,,,
Depth5_440,Depth4_312,"but what if someone gets a lower paid , but really worthwhile job - such as primary school teacher , nurse , or charity worker - all of which often require a degree but are terribly underpaid as a sector ?",job,,,,
Depth5_445,Depth4_321,"scholarships and fee waivers are incredibly competitive and often don't take into account the cost of living , only fees . plus , if brexit happens , other eu countries won't be a cheaper alternative for uk residents .",scholarship,,,,
Depth5_449,Depth4_330,a loan puts unnecessary pressure on students and is not a precursor for motivation . students must be self motivated to do well .,loan,,,,
Depth5_451,Depth4_330,"all research shows that debt adds a huge amount of stress to the debtor - there are no mental benefits really , i don't think that it would help their focus , only hinder it .",debt,,,,
Depth5_454,Depth4_339,"once the student gets a job , the amount repayable may be significant depending on the salary , it could have huge impacts on lifestyle .",job,,,,
Depth5_456,Depth4_339,"the loan is means assessed ( based on parental income ) but is limited in how well it reflects the support parents can actually offer , and so the awarded loan amount often falls far short of the fee and living costs .",loan,,,,
Depth5_457,Depth4_339,then that will be a debt that stays with person hindering the person from getting others loans .,loan,debt,,,
Depth5_458,Depth4_339,"except it isn't ! some children have already discounted going to university before they're even eligible due to the associated cost , when they can be helping to bring money into the family rather than burden themselves with debt they have no guarantee of paying off .",family,debt,,,
Depth5_460,Depth4_349,it is also being part of a citizen to have a right to free education regardless,free,,,,
Depth5_461,Depth4_349,"what about key workers like nurses and midwives who have to have a degree level education in order to work in those jobs , but there are now no subsidies or bursaries available ? why not increase tax to cover university education ?",job,tax,,,
Depth5_462,Depth4_349,government spending on foreign policy is to high to justify it as being a citizen .,government,,,,
Depth5_464,Depth4_353,if the government was to cut all university fee 's we would see a rise in drop outs and students who do not wish to study . students who do not have to pay would be lazy and unaccomplished in their studies,government,,,,
Depth5_467,Depth4_353,"every society needs individuals that have been educated to a high level and to help social mobility , an individual 's socioeconomic background should not affect their ability to be educated to the highest level if they show talent . the government needs to invest in young people and higher education .",society,government,background,,
Depth5_472,Depth4_368,saddling young people with a 50 thousand pound debt before they even start their adult lives in employment is totally unfair . at the moment people with intellect and talent that could do society a great service are being put off from going to university .,society,debt,,,
Depth5_474,Depth4_380,saving the economy should be greatly helped via the government and not lining the pockets of the rich to make them richer and the poor poorer,government,,,,
Depth5_476,Depth4_380,if the aim of going to university was to increase earnings paying a large amount of that back from their wage packet seems counter intuitive from the main aim of a higher paid career,career,,,,
Depth5_477,Depth4_380,"they are enormous pressures on young people these days . for example , the lack of housing and high house prices and rents . childcare costs too are prohibitive . why burden them with enormous debt as well .",debt,,,,
Depth5_479,Depth4_389,"being in debt your whole life is a daunting thing , nobody wants to take a job where they have to lose pay due to previous studying to get that job in the first place .",job,debt,,,
Depth5_482,Depth4_389,the vast majority of people do n't need a huge student debt as an incentive to find work .,debt,,,,
Depth5_483,Depth4_389,"your future master will not have a choice but to pay off their debt . to earn enough to invest in their future , they must also have to pay back the loan , delaying their savings .",loan,debt,,,
Depth5_484,Depth4_403,society would be a better place if everyone had access to the same free education,society,free,access,,
