arg_id,prev_arg_id,Argument,Concern1,Concern2,Concern3,Concern4
Depth4_292,Depth3_54,"This is another concern of the Government, but all people should have access to the same possibilities, whether they are disadvantaged or not.",access,government,,
Depth4_295,Depth3_54,People also have higher paying jobs and they are already being taxed enough for other services.,job,,,
Depth4_298,Depth3_54,"The debt doesn't count against someone's credit score and is largely ignored, if they started earning less they would stop paying it back. Percentage wise there are more people going to university",debt,,,
Depth4_301,Depth3_55,There is no general issues to take the loan out if you reside in UK and the fee is only paid back after certain amount is earned and not earlier than one year after you get a degree,loan,,,
Depth4_303,Depth3_55,"The students that really want to specialize in a field can find a part-time job for a while, which would lighten the burden of the loan.",loan,job,,
Depth4_308,Depth3_55,"A degree is not a right, an opportunity to have one is. The loans are accessible and so people have the choice, if they are unwilling to take on the debt then they chose not to.",loan,debt,,
Depth4_312,Depth3_56,The loans must depend on each person after completing the studies. And a person has to take the studies to develop in education to get a good job.,loan,job,,
Depth4_315,Depth3_56,This forces the students to be more committed and show better effort in their education so they are ensured a better job.,job,,,
Depth4_318,Depth3_56,It works for the people who get the jobs who can pay it back without negatively impacting those who do not get a well paid job. The less well paid people would be impacted more through an increase in all taxation than the current payback process.,job,,,
Depth4_321,Depth3_61,"Then they can seek a degree abroad in cheaper locations in the EU, or look for scholarships and tuition fee waivers.",scholarship,,,
Depth4_325,Depth3_61,The higher education with their commitment will also give them a better job and pay.,job,,,
Depth4_327,Depth3_61,"There are student loans and extra help available to those who come from a lower financial background. If they want it badly, they will look around and take help from these options. ",loan,background,,
Depth4_330,Depth3_62,A loan may not be good for a student but maybe ensures that the student will take advantage of higher education in the best way because he knows he's in debt.,loan,debt,,
Depth4_336,Depth3_62,"However it will also help students weigh up their options, perhaps looking more at those that will lead to jobs with better salaries.",job,,,
Depth4_338,Depth3_62,"If you get a non-returnable loan from school for very good academic results, you will not be worried about the money, if you are also resourceful, you will be looking for a casual job during a break in classes",loan,job,,
Depth4_339,Depth3_63,"You do not need to pay straight away, the University is accessible as never before for everyone; young, mature, from less privileged backgrounds etc.",background,,,
Depth4_341,Depth3_63,"Not everyone has to have a degree and there are cheaper ways to get a degree. Study abroad or work part-time, apply for funds or scholarships.",scholarship,,,
Depth4_343,Depth3_63,"In this situation, the young person has to think seriously about his future and make some sacrifices for being able to pay off the loan, such as a part-time job.",loan,job,,
Depth4_349,Depth3_64,"It is a part of being citizen, they use services such medical care, primary education for their kids, so by paying taxes they are contributing to the society as whole",tax,,,
Depth4_353,Depth3_64,"Further education, although is not for everyone, so government should prioritize what is the best for everyone and education is free in a level that is thought to be required.",free,government,,
Depth4_357,Depth3_64,"Our arms budget is low enough already, and if we were going to cut down taxes elsewhere, do you not agree it could be spent better for example, in the NHS? ",tax,,,
Depth4_364,Depth3_65,Other countries have free higher education. Someone can have talent and therefore can get educated even if they don't have money. ,free,,,
Depth4_368,Depth3_65,"I think if someone gets something for free, he does not appreciate it, if he pays for it from his own pocket, he respects it",free,,,
Depth4_369,Depth3_66,"There is plenty Government support, it would be oblivious to think that you can get something without working hard. Even those who has good financial support from their families, have to study hard to gain good results. It is all about the knowledge what is available out there",government,,,
Depth4_375,Depth3_66,That is a temporary condition and resolves itself once the students take that experience gained and get a job from it.,job,,,
Depth4_380,Depth3_71,The better paid jobs come with a higher investment which is fair and risk worth taking.,job,,,
Depth4_382,Depth3_71,"They would still end up earning more money with a better paid job, as it is only 9% of what they earn over a set amount. People should think about that before they take out a loan.",loan,job,,
Depth4_386,Depth3_71,The quicker they pay it back then the less time they have the debt hanging over them. As they increase their salary then the loan will seem much more insignificant anyway. ,loan,debt,,
Depth4_389,Depth3_72,"In my opinion, thanks to loans, the future master will actively seek work to pay off his debt",loan,debt,,
Depth4_390,Depth3_72,"If the student does not have any other source of support, then this system is fair as it not forced and gives better jobs and salary for the debt incurred.",job,debt,,
Depth4_393,Depth3_72,"Student loans allow further education for everyone, otherwise the funding would have to come from a graduate tax or a tax on everyone.",loan,tax,,
Depth4_403,Depth3_73,"I agree in principle, however, a large proportion of the population will never go to university, therefore it would be unfair to let them pay for it through taxes.",tax,,,
Depth4_404,Depth3_73,"Everybody pay taxes, so, you have a right to have access to university if you want.",tax,access,,
Depth4_405,Depth3_73,Not everyone studies to be a doctor or teacher. We have to take some personal responsibility for this. Loans put the burden of paying only on those who chose to study it. ,loan,,,
Depth4_412,Depth3_74,"It only takes that percentage once you earn a certain amount, it is a choice to take a degree and take on this debt. More information could be provided so people understand the financial ramifications.",debt,,,
Depth4_416,Depth3_74,"There's no guarantee, but it puts you in a far better position. The amount deducted from your pay is actually relatively small, especially for a loan. ",loan,,,
Depth4_417,Depth3_74,"It's better then apply taxes to everyone. With this system, only who wants to study needs to pay.",tax,,,
Depth4_418,Depth3_74,"That's true, but if you will not find job with degree, you can always pay money back with longer time, with smaller interest.",job,interest,,
Depth4_423,Depth3_75,"It's true that education is essential to better civilisation, but it IS accessible by all those who desire it. Nothing is impossible, there are plenty of options to earn money with a good job or even pay a loan.",loan,job,,
Depth4_426,Depth3_75,There would be pressure to find a good job regardless - everybody needs money to live. The interest rates are much lower than normal loans. ,loan,job,interest,
Depth4_427,Depth3_75,It is a good way of recent graduates to find a job quickly and the interest rates are not so high.,job,interest,,
Depth4_433,Depth3_76,"There are loans about so no one pays fees up front anyway, only when they have secured a job. ",loan,job,,
Depth4_434,Depth3_76,"Nothing is perfect in this life. You can get a decent job without a degree, but it's more difficult. You have more chanced if you have a degree.",job,,,
Depth4_436,Depth3_76,"People can still get a well paid job if they don't go to university. They may have to work a little harder, but they should have been more careful and kept a good credit score anyway. ",job,,,
Depth4_440,Depth3_81,"Other countries also value their education, although it is free, it is strictly necessary that students must pass all their courses and respect the meaning of free education, it is something that should not be compared so freely.",free,,,
Depth4_446,Depth3_81,"Thanks to student loan programs, students are able to function normally and do not worry about additional expenses",loan,,,
Depth4_447,Depth3_81,"Actually, the education is not free. Is free for the students, but the money comes from taxes. The taxes are low because Germany knows how to manage taxes very well.",free,tax,,
Depth4_462,Depth3_83,"Exactly. If your income is less than a certain threshold, you won't have to pay back the loan. So if you cannot afford to serve the loan, you will not be forced.",loan,afford,,
Depth4_465,Depth3_83,"Yes that is correct. However it is assumed that when you take out the student loan, that you do intend to get a good job and pay it back. ",loan,job,,
Depth4_466,Depth3_83,"After graduation, many people get a much better job so they can afford to pay for loans. This is a normal bird in many European countries",loan,job,afford,
Depth4_470,Depth3_84,"There is also the option of earning a scholarship true pure knowledge and efforts so, students don't necessarily need to put a load on their parents or themselves to get a good education.",scholarship,,,
Depth4_471,Depth3_84,"That is why the loans are so flexible with when students can repay them. They can manage their current situation and once they get a better job after the degree with higher pay, they can repay the loan back.",loan,job,,
Depth4_476,Depth3_84,"It's true that education is essential to better civilisation, but it IS accessible by all those who desire it. Nothing is impossible, there are plenty of options to earn money with a good job or even pay a loan.",loan,job,,
Depth4_484,Depth3_85,I agree with A1 Free education would be wasted on some people. they should seek education in other schools,free,,,
Depth4_486,Depth3_85,"Regardless whether education is a human right or not, making it free will only lower the quality available to everyone. Free education would be wasted on some people. ",free,,,
Depth4_491,Depth3_86,"Each student has a different financial background and hence, it is fair to treat them differently based on their wealth.",background,,,
Depth4_492,Depth3_86,"If they cannot repay the loan with their current income, they will not be forced. Everyone will pay according to their abilities, so that everyone can have a decent standard of living.",loan,,,
Depth4_496,Depth3_86,Those who earn less must have greater help if the intent is to continue. It's Not beneficial for any student to have debts.,debt,,,
Depth4_500,Depth3_91,The loans will be written off in the end and it is always a manageable rate to pay back meaning that it is affordable,loan,,,
Depth4_504,Depth3_91,Young people choosing education should not have to take loans to learn. Science should finance the state to teach theoretically and practically its future employees.,loan,,,
Depth4_505,Depth3_91,"In my opinion, it is an exaggeration to say that interest rates on student loans are high. For students there is a lower interest rate compared to other bank clients.
Going further, I do not agree that the loan repayment will take a very long time.",loan,interest,,
Depth4_516,Depth3_92,"To say that they have little to no other options is disingenuous, there are many careers that do not require university education. If they wish to pursue a career path that requires a degree this is a commitment and choice they have to balance. ",career,,,
Depth4_517,Depth3_92,"In that case, the students can get a job for one year at least before the university, to have a way to get access to a loan.",loan,job,access,
Depth4_518,Depth3_92,"The interest rates are far lower than any other kind of loan. Contact time is generally quite low, so you could easily fit a job in around that. Plus, there are always other options available, such as apprenticeships. ",loan,job,interest,
Depth4_523,Depth3_93,"there are no people in industrial occupations for this we have too many people behind the desk, they should seek education in other schools introduce school scholarships for poor but talented young people thanks to this, the willingness to learn will remain",scholarship,,,
Depth4_526,Depth3_93,There are scholarships and the like that reduce the financial burden on bright students if they do not come from ideal economic backgrounds. ,scholarship,background,,
Depth4_528,Depth3_93,There are grants and loans in place for that. It was announced recently that even universities like Cambridge are allocating extra places for low income students. ,loan,,,
Depth4_533,Depth3_94,"What if the state invests in students with poor results if they do not learn well.
I think if someone gets something for free, he does not appreciate it, if he pays for it from his own pocket, he respects it",free,,,
Depth4_535,Depth3_94,"I think that a college student who has financial problems always has the opportunity to receive a scholarship for the results of learning.
Additionally, he can also count on family help.",scholarship,,,
Depth4_538,Depth3_94,"That's the responsibility of schools, not universities. They should make pupils aware of all the options available, such as scholarships. ",scholarship,,,
Depth4_540,Depth3_95,"The loan doesn't count against their credit score and will be written off if they can't pay it back, so does not stop them from getting on with their lives ",loan,,,
Depth4_544,Depth3_95,Student loans should be found and a subsidy system should be created which in later years could be received by the state in interest-free installments directly from wages and salaries.,loan,,,
Depth4_545,Depth3_95,"The argument that not every student will find a financial situation to pay off the loan does not appeal to me, because in adult life you have to manage your finances in such a way as to be a plus.",loan,,,
Depth4_550,Depth3_96,"Scholarships should take into account everyone's position so they provide the most benefit. If scholarships are for the extraordinary, then there can't be that many otherwise they are not extraordinary just good",scholarship,,,
Depth4_553,Depth3_96,"If you get a non-returnable loan from school for very good academic results, you will not be worried about the money,
 If you are also resourceful, you will be looking for a casual job during a break in the same classes you will be able to repair your budget",loan,job,,
Depth4_558,Depth3_96,"it's possible, but not definite. They could always try other universities or subjects. Not to mention the option of studying abroad where scholarships are more readily available. ",scholarship,,,
Depth4_561,Depth3_101,"The problem with no university fees is the possibility of overcrowding. Free education opens up institutions for everyone, while that is not a bad thing, this does cause the problem of overcrowding and too many on the same course. ",free,,,
Depth4_562,Depth3_101,People who currently have poorly paid jobs and bad life choices are from a mix of backgrounds including people with degrees so that won't be gotten rid of.,job,background,,
Depth4_564,Depth3_101,I come from a low income parent background and I see education a privilege and feel the value of paying for it keeps people in a stronger position for job prospects. Struggle sometimes is what makes people the best they can be.,job,background,,
Depth4_571,Depth3_102,"Yes, you have a point but surely this would create an unequal society. Free education brings people from different cultures and backgrounds to the same school where the aspect of social class may play out. This has the risk of causing an unequal society.",free,background,,
Depth4_572,Depth3_102,Debt is a way of funding things which would be hard or impossible to save for up front. The country itself is in significant debt and cannot afford to shoulder more debt just so uni students don't have to personally.,debt,afford,,
Depth4_575,Depth3_102,"The current system of student loans does not affect credit rating and functions well as a ""graduate-tax"". This means only those who use it are charged and both they and the state are not overburdened.",loan,,,
Depth4_576,Depth3_102,"Uni education should be paid for, if that means getting into debt then so be it. Tbh you get plenty of free time when at uni so go out & get a part time job or two to keep debt low. Too many students want to party, party, party",free,job,debt,
Depth4_582,Depth3_103,That is making an enormous assumption based on a small number of candidates. Most people accept uni debt as part of the price of qualifying and adhere to repayment terms.,debt,,,
Depth4_583,Depth3_103,"Yes student loans are only paid back when the person is earning a salary over a certain threshold. Therefore, the repayments will only be taken once the individual is in a decent job earning a reasonable amount of money.",loan,job,,
Depth4_585,Depth3_103,"Student loan repayments are only charged over a certain 'earnings-threshold' and are canceled after 30 years and do not affect credit rating. They therefore behave more like a ""graduate-tax"" than a loan.",loan,,,
Depth4_589,Depth3_104,The scholarships would be selective and so would have minimal effect of the impacts of the fees paid by paying students. Able students with lower incomes are able to benefit from the premium standard of education using subsidies from fee paying students,scholarship,,,
Depth4_591,Depth3_104,"I am not saying this is for rich people only, I said exceptional student - this can be all backgrounds. ",background,,,
Depth4_593,Depth3_104,"The fact that student loans are now available to everyone, actually makes education accessable to everyone and not just the rich: which used to be the case many years ago.",loan,,,
Depth4_605,Depth3_105,This seems pointless. Graduates pay a percentage of their earnings after graduating. Is it not fairer to charge them based on how wealthy they become after graduating rather than how wealthy their background is?,background,,,
Depth4_606,Depth3_105,Unless you earn the right to a scholarship then you should pay tuition fees & pay it back once earning a certain amount,scholarship,,,
Depth4_609,Depth3_106,"If students are keen to go to university, they can apply for a scholarship to lessen / negate any loans. Loans can be paid off dependent on their circumstances. A good degree will achieve a higher rate of pay over time and improve prospects",loan,scholarship,,
Depth4_611,Depth3_106,"However, the debts and interest rates will just get passed onto others via increased taxation. ",interest,debt,,
Depth4_620,Depth3_111,Student loans should be available for everyone. It gives people a better chance in life to succeed in a career they want to achieve. Money should be irrelevant when it comes to people's ambitions and education.,loan,career,,
Depth4_622,Depth3_111,"Loans will be available to all applicants and the payments will be means tested, so you will only ever be paying back an amount you can afford. The education will mean people can earn higher salaries and be less likely to live a life in debt.",loan,debt,afford,
Depth4_625,Depth3_111,"The debt that they get into will be minimal compared to the salary from a good job, earned through achieving a degree. So it will be affordable to pay back and they will not notice the repayments. ",job,debt,,
Depth4_633,Depth3_112,Courses and apprenticeships are a good alternative to a university degree for those from low income families. Scholarships should still be made available for those who demonstrate academic ability. Society gains as a whole from an educated population and the government should invest in this. ,scholarship,government,,
Depth4_635,Depth3_112,It is ultimately the learners choice how they wish to gain further education. I think the fees and scholarship program will help motivate students who really want to study. ,scholarship,,,
Depth4_636,Depth3_112,I think the prestige of a good university scholarship plus be more attractive to potential students,scholarship,,,
Depth4_646,Depth3_113,That is not true as better qualified people will enable companies to be more productive and the government therefore benefits from increased taxes on company profits,tax,government,,
Depth4_647,Depth3_113,"The majority of students that leave the university will be earning enough, which means the interest they pay back on their loans will cover the cost of the unpaid loans from others. This levels the debt but leaves the country better educated ",loan,interest,debt,
Depth4_648,Depth3_113,Low income families wouldnt even consider uni if they didnt have the student loan. If removed then they wouldn't be given a fair a chance,loan,,,
Depth4_653,Depth3_114,"Before taking out a loan, it should be compulsory to attend a meeting/lecture on what the loan entails and the debt that will accrue over time. without knowledge of this, financial pressure once leaving university could lead to further problems. ",loan,debt,,
Depth4_656,Depth3_114,"People will only save up to go to university if they can afford, if people save this is not the fault of the loan system",loan,afford,,
Depth4_657,Depth3_114,"Students cannot be blamed for flaws within the loan systems, this is the loan company's issue that needs to be corrected to allow people from all economic groups to be able to afford to better themselves",loan,afford,,
Depth4_659,Depth3_115,It is understandable that it is a concern that people need to consider if they can afford it but a student loan is an investment in themselves and their future,loan,afford,,
Depth4_666,Depth3_115,"Tuition fees are no the only factor accommodation costs are also a factor and this is no different to the housing market, I won't take a similar job in London because I couldn't afford to live their or commute from where I live know",job,afford,,
Depth4_667,Depth3_115,"Although I take this on board, loan companies do offer maintenance loans to pay for daily living costs, students can get part time jobs and many universities do offer grants to students from low income backgrounds to encourage people from all backgrounds to access further education ",loan,job,access,background
Depth4_669,Depth3_116,There are plenty of options to develop in a career path without university but if they wish to find a career that needs the formal education then they have that choice,career,,,
Depth4_673,Depth3_116,"Not all 'good careers' require further study after 18. As long as the options are there, either way, young people should be encouraged to make the most of their talents, skills and passions.",career,,,
Depth4_674,Depth3_116,No but further education leads to better jobs and also gives them more experience in life.,job,,,
Depth4_679,Depth3_121,"The career they will end up in as a result of studying at university will be much higher paid than if they did not pursue these qualifications, so it is way worth it in the end.",career,,,
Depth4_681,Depth3_121,"If they do not earn enough to repay the fees, they do not have to repay them until they do earn enough, thus, it does not present any financial strain on those who are concerned about loan repayment. ",loan,,,
Depth4_687,Depth3_121,"Exactly, most people do not get jobs related to their degree and so fees are good for ensuring greater focus on people's careers. If fees were abolished the problem would be far worse.",job,career,,
Depth4_689,Depth3_122,"So many people change their minds or waste their time and education during A-Levels (which are free), so having to pay for a higher education ensures they really do pick the right path and don't waste teachers' / lecturers time.",free,,,
Depth4_691,Depth3_122,"The fees are a necessary part of going to university. The university must be able to sustain itself without relying wholly on the government. Those who lie in lower economic groups will be heavily subsidised by grants and extra student loans, therefore university is accessible to all, despite economic background.",loan,government,background,
Depth4_698,Depth3_122,There is plenty of external help for hard to access careers for those who have the drive to work hard in the first place. This ensures the most passionate and motivated people are rewarded for their hard work.,access,career,,
Depth4_699,Depth3_123,Access to such advice is not mandatory but should unquestionably be offered for such a huge life changing decision. ,access,,,
Depth4_702,Depth3_123,"It is a choice, students can choose not to go to university and avoid the debt. In the same way, they can choose to go and sign up for the debt if it means they will have more opportunities later on. Students are not compelled to take HE pathways. ",debt,,,
Depth4_703,Depth3_123,The student loan system for tuition fees is paid back at a small percentage depending on the individuals earnings. ,loan,,,
